Name,Gender,Name_RU
Willam,boy,Уильям
Al,boy,Ал
Aloysius,boy,Алоизий
Alvie,boy,Элви
Anna,boy,Анна
Art,boy,Арт
Augustine,boy,Августин
Bailey,boy,Бэйли
Benjaman,boy,Бенджаман
Beverly,boy,Беверли
Bishop,boy,Бишоп
Clair,boy,Клер
Cloyd,boy,Клойд
Coleman,boy,Коулман
Dana,boy,Дана
Duncan,boy,Дункан
Dwight,boy,Дуайт
Emile,boy,Эмиль
Evert,boy,Эверт
Henderson,boy,Хендерсон
Hunter,boy,Хантер
Jean,boy,Жан
Lem,boy,Лем
Luis,boy,Луис
Mathias,boy,Матиас
Maynard,boy,Мейнард
Miguel,boy,Мигель
Mortimer,boy,Мортимер
Nels,boy,Нельс
Norris,boy,Норрис
Pat,boy,Пэт
Phil,boy,Фил
Rush,boy,Раш
Santiago,boy,Сантьяго
Sol,boy,Сол
Sydney,boy,Сидней
Thaddeus,boy,Фаддей
Thornton,boy,Торнтон
Tim,boy,Тим
Travis,boy,Трэвис
Truman,boy,Трумэн
Watson,boy,Ватсон
Webb,boy,Уэбб
Wellington,boy,Веллингтон
Winfred,boy,Уинфред
Wylie,boy,Уайли
Alec,boy,Алек
Basil,boy,Базиль
Baxter,boy,Бакстер
Bertrand,boy,Бертран
Buford,boy,Буфорд
Burr,boy,Берр
Cleveland,boy,Кливленд
Colonel,boy,Колонел
Dempsey,boy,Демпси
Early,boy,Ёорли
Ellsworth,boy,Эллсворт
Fate,boy,Фэйт
Finley,boy,Финли
Gabe,boy,Гейб
Garland,boy,Гарлэнд
Gerald,boy,Джеральд
Herschel,boy,Гершель
Hezekiah,boy,Езекия
Justus,boy,Юстус
Lindsey,boy,Линдси
Marcellus,boy,Марцелл
Olaf,boy,Олаф
Olin,boy,Олин
Pablo,boy,Пабло
Rolland,boy,Роллан
Turner,boy,Тернер
Verne,boy,Верн
Volney,boy,Волни
Williams,boy,Уильямс
Almon,boy,Алмон
Alois,boy,Алоис
Alonza,boy,Алонса
Anson,boy,Энсон
Authur,boy,Артур
Benton,boy,Бентон
Billie,boy,Билли
Cornelious,boy,Корнелиус
Darius,boy,Дариус
Denis,boy,Денис
Dillard,boy,Диллард
Doctor,boy,Доктор
Elvin,boy,Элвин
Emma,boy,Эмма
Eric,boy,Эрик
Evans,boy,Эванс
Gideon,boy,Гидеон
Haywood,boy,Хейвуд
Hilliard,boy,Хиллиард
Hosea,boy,Осия
Lincoln,boy,Линкольн
Lonzo,boy,Лонзо
Lucious,boy,Люсиус
Lum,boy,Люм
Malachi,boy,Малачи
Newt,boy,Ньют
Noel,boy,Ноэль
Orie,boy,Ори
Palmer,boy,Палмер
Pinkney,boy,Пинкни
Shirley,boy,Ширли
Sumner,boy,Самнер
Terry,boy,Терри
Urban,boy,Урбан
Uriah,boy,Урия
Valentine,boy,Валентина
Waldo,boy,Уолдо
Warner,boy,Уорнер
Wong,boy,Вонг
Zeb,boy,Зеб
Abel,boy,Авель
Alden,boy,Олден
Archer,boy,Арчер
Avery,boy,Эйвери
Carson,boy,Карсон
Cullen,boy,Каллен
Doc,boy,Док
Eben,boy,Эбен
Elige,boy,Элиге
Elizabeth,boy,Элизабет
Elmore,boy,Элмор
Ernst,boy,Эрнст
Finis,boy,Финис
Freddie,boy,Фредди
Godfrey,boy,Годфри
Guss,boy,Гасс
Hamp,boy,Хэмп
Hermann,boy,Германн
Isadore,boy,Исадор
Isreal,boy,Израиль
Jones,boy,Джонс
June,boy,Джун
Lacy,boy,Лейси
Lafe,boy,Лафе
Leland,boy,Леланд
Llewellyn,boy,Ллевеллин
Ludwig,boy,Людвиг
Manford,boy,Мэнфорд
Maxwell,boy,Максвелл
Minnie,boy,Минни
Obie,boy,Оби
Octave,boy,Октава
Orrin,boy,Оррин
Ossie,boy,Осси
Oswald,boy,Освальд
Park,boy,Парк
Parley,boy,Парли
Ramon,boy,Рамон
Rice,boy,Райс
Stonewall,boy,Стоунволл
Theo,boy,Тео
Tillman,boy,Тиллман
Addie,boy,Эдди
Aron,boy,Арон
Ashley,boy,Эшли
Bernhard,boy,Бернхард
Bertie,boy,Берти
Berton,boy,Бертон
Buster,boy,Бастер
Butler,boy,Батлер
Carleton,boy,Карлтон
Carrie,boy,Кэрри
Clara,boy,Клара
Clarance,boy,Кларенс
Clare,boy,Клэр
Crawford,boy,Кроуфорд
Danial,boy,Даниал
Dayton,boy,Дейтон
Dolphus,boy,Дольфус
Elder,boy,Элдер
Ephriam,boy,Ефриам
Fayette,boy,Файетт
Felipe,boy,Фелипе
Fernando,boy,Фернандо
Flem,boy,Флем
Florence,boy,Флоренция
Ford,boy,Форд
Harlan,boy,Харлан
Hayes,boy,Хейс
Henery,boy,Хенери
Hoy,boy,Хой
Huston,boy,Хьюстон
Ida,boy,Ида
Ivory,boy,Иворий
Jonah,boy,Иона
Justin,boy,Джастин
Lenard,boy,Ленард
Leopold,boy,Леопольд
Lionel,boy,Лайонел
Manley,boy,Мэнли
Marquis,boy,Маркиз
Marshal,boy,Маршал
Mart,boy,Март
Odie,boy,Оди
Olen,boy,Олен
Oral,boy,Оральный
Orley,boy,Орлей
Otha,boy,Ота
Press,boy,Пресс
Price,boy,Прайс
Quincy,boy,Куинси
Randall,boy,Рэндалл
Rich,boy,Рич
Richmond,boy,Ричмонд
Romeo,boy,Ромео
Russel,boy,Рассел
Rutherford,boy,Резерфорд
Shade,boy,Шейд
Shelby,boy,Шелби
Solon,boy,Солон
Thurman,boy,Турман
Tilden,boy,Тилден
Troy,boy,Троя
Woodson,boy,Вудсон
Worth,boy,Ворс
Aden,boy,Аден
Alcide,boy,Олси
Alf,boy,Альф
Algie,boy,Элджи
Arlie,boy,Арли
Bart,boy,Барт
Bedford,boy,Бедфорд
Benito,boy,Бенито
Billy,boy,Билли
Bird,boy,Птица
Birt,boy,Бирт
Bruno,boy,Бруно
Burley,boy,Берли
Chancy,boy,Шанси
Claus,boy,Клаус
Cliff,boy,Утес
Clovis,boy,Хлодвиг
Connie,boy,Конни
Creed,boy,Крид
Delos,boy,Делос
Duke,boy,Дьюк
Eber,boy,Эбер
Eligah,boy,Элига
Elliot,boy,Эллиот
Elton,boy,Элтон
Emmitt,boy,Эммитт
Gene,boy,Ген
Golden,boy,Голден
Hal,boy,Хэл
Hardin,boy,Хардин
Harman,boy,Харман
Hervey,boy,Херви
Hollis,boy,Холлис
Ivey,boy,Айви
Jennie,boy,Дженни
Len,boy,Лен
Lindsay,boy,Линдси
Lonie,boy,Лони
Lyle,boy,Лайл
Mac,boy,Мак
Mal,boy,Мал
Math,boy,Мэс
Miller,boy,Миллер
Orson,boy,Орсон
Osborne,boy,Осборн
Percival,boy,Персиваль
Pleas,boy,Плис
Ples,boy,Плес
Rafael,boy,Рафаэль
Raoul,boy,Рауль
Roderick,boy,Родерик
Rose,boy,Роуз
Shelton,boy,Шелтон
Sid,boy,Сид
Theron,boy,Терон
Tobias,boy,Тобиас
Toney,boy,Тони
Tyler,boy,Тайлер
Vance,boy,Вэнс
Vivian,boy,Вивиан
Walton,boy,Уолтон
Watt,boy,Ватт
Weaver,boy,Вивер
Wilton,boy,Уилтон
Adolf,boy,Адольф
Albin,boy,Альбин
Albion,boy,Альбион
Allison,boy,Эллисон
Alpha,boy,Альфа
Alpheus,boy,Алфей
Anastacio,boy,Анастасио
Andre,boy,Андре
Annie,boy,Энни
Arlington,boy,Арлингтон
Armand,boy,Арманд
Asberry,boy,Эсберри
Asbury,boy,Эсбери
Asher,boy,Ашер
Augustin,boy,Огюстен
Auther,boy,Автер
Author,boy,Автор
Ballard,boy,Баллард
Blas,boy,Блас
Caesar,boy,Цезарь
Candido,boy,Кандидо
Cato,boy,Катон
Clarke,boy,Кларк
Clemente,boy,Клементе
Colin,boy,Колин
Commodore,boy,Коммодор
Cora,boy,Кора
Coy,boy,Кой
Cruz,boy,Круз
Curt,boy,Курт
Damon,boy,Дэймон
Davie,boy,Дэви
Delmar,boy,Дельмар
Dexter,boy,Декстер
Dora,boy,Дора
Doss,boy,Досс
Drew,boy,Дрю
Edson,boy,Эдсон
Elam,boy,Элам
Elihu,boy,Елиуй
Eliza,boy,Элиза
Elsie,boy,Элси
Erie,boy,Эри
Ernie,boy,Эрни
Ethel,boy,Этель
Ferd,boy,Ферд
Friend,boy,Френд
Garry,boy,Гарри
Gary,boy,Гэри
Grace,boy,Грэйс
Gustaf,boy,Густав
Hallie,boy,Хэлли
Hampton,boy,Хэмптон
Harrie,boy,Гарри
Hattie,boy,Хэтти
Hence,boy,Хэнс
Hillard,boy,Хиллард
Hollie,boy,Холли
Holmes,boy,Холмс
Hope,boy,Хоуп
Hyman,boy,Хайман
Ishmael,boy,Измаил
Jarrett,boy,Джарретт
Jessee,boy,Джесси
Joeseph,boy,Джозеф
Junious,boy,Джуниус
Kirk,boy,Кирк
Levy,boy,Леви
Mervin,boy,Мервин
Michel,boy,Мишель
Milford,boy,Милфорд
Mitchel,boy,Митчел
Nellie,boy,Нелли
Noble,boy,Нобл
Obed,boy,Обед
Oda,boy,Ода
Orren,boy,Оррен
Ottis,boy,Оттис
Rafe,boy,Рейф
Redden,boy,Редден
Reese,boy,Риз
Rube,boy,Рубе
Ruby,boy,Руби
Rupert,boy,Руперт
Salomon,boy,Саломон
Sammie,boy,Сэмми
Sanders,boy,Сандерс
Soloman,boy,Соломан
Stacy,boy,Стейси
Stanford,boy,Стэнфорд
Stanton,boy,Стэнтон
Thad,boy,Тад
Titus,boy,Тит
Tracy,boy,Трейси
Vernie,boy,Верни
Wendell,boy,Венделл
Wilhelm,boy,Вильгельм
Willian,boy,Виллиан
Yee,boy,Ыее
Zeke,boy,Зик
Ab,boy,Аб
Abbott,boy,Эбботт
Agustus,boy,Агустус
Albertus,boy,Альбертус
Almer,boy,Альмер
Alphonso,boy,Альфонсо
Alvia,boy,Альвиа
Artie,boy,Арти
Arvid,boy,Арвид
Ashby,boy,Эшби
Augusta,boy,Агустуста
Aurthur,boy,Артур
Babe,boy,Бэйби
Baldwin,boy,Болдуин
Barnett,boy,Барнетт
Bartholomew,boy,Варфоломей
Barton,boy,Бартон
Bernie,boy,Берни
Blaine,boy,Блейн
Boston,boy,Бостон
Brad,boy,Брэд
Bradford,boy,Брэдфорд
Bradley,boy,Брэдли
Brooks,boy,Брукс
Buck,boy,Бак
Budd,boy,Бадд
Ceylon,boy,Цейлон
Chalmers,boy,Чалмерс
Chesley,boy,Чесли
Chin,boy,Чин
Cleo,boy,Клео
Crockett,boy,Крокетт
Cyril,boy,Кирилл
Daisy,boy,Дейзи
Denver,boy,Денвер
Dow,boy,Доу
Duff,boy,Дафф
Edie,boy,Эди
Edith,boy,Эдит
Elick,boy,Элик
Elie,boy,Эли
Eliga,boy,Элига
Eliseo,boy,Элисео
Elroy,boy,Элрой
Ely,boy,Эли
Ennis,boy,Эннис
Enrique,boy,Энрике
Erasmus,boy,Эразм
Esau,boy,Исав
Everette,boy,Эверетт
Firman,boy,Фирман
Fleming,boy,Флеминг
Flora,boy,Флора
Gardner,boy,Гарднер
Gee,boy,Ги
Gorge,boy,Горг
Gottlieb,boy,Готлиб
Gregorio,boy,Грегорио
Gregory,boy,Грегори
Gustavus,boy,Густав
Halsey,boy,Хэлси
Handy,boy,Хэндий
Hardie,boy,Харди
Harl,boy,Харл
Hayden,boy,Хейден
Hays,boy,Хейс
Hermon,boy,Хермон
Hershel,boy,Гершель
Holly,boy,Холли
Hosteen,boy,Хостин
Hoyt,boy,Хойт
Hudson,boy,Хадсон
Huey,boy,Хьюи
Humphrey,boy,Хамфри
Hunt,boy,Хант
Hyrum,boy,Хайрам
Irven,boy,Ирвен
Isam,boy,Исам
Ivy,boy,Айви
Jabez,boy,Джабез
Jewel,boy,Джевел
Jodie,boy,Джоди
Judd,boy,Джадд
Julious,boy,Джулиус
Justice,boy,Джустице
Katherine,boy,Кэтрин
Kelly,boy,Келли
Kit,boy,Кит
Knute,boy,Кнут
Lavern,boy,Лаверн
Lawyer,boy,Лавьер
Layton,boy,Лейтон
Brown,boy,Браун
Newell,boy,Ньюэлл
Carter,boy,Картер
Lucas,boy,Лукас
Ransom,boy,Рэнсом
Bee,boy,Би
Meyer,boy,Мейер
Paris,boy,Пэрис
Byrd,boy,Берд
Deforest,boy,Дефорест
Dolph,boy,Дольф
Harper,boy,Харпер
Jule,boy,Джул
Lambert,boy,Ламберт
Margaret,boy,Маргарет
Ocie,boy,Оси
Orange,boy,Оранж
Reece,boy,Риис
Roe,boy,Рои
Ambers,boy,Амберс
Bessie,boy,Бесси
Collins,boy,Коллинз
Elbridge,boy,Элбридж
Eldon,boy,Элдон
Elvis,boy,Элвис
Gaston,boy,Гастон
Guadalupe,boy,Гваделупа
Hartwell,boy,Хартвелл
Knox,boy,Нокс
Lue,boy,Лю
Manning,boy,Мэннинг
Ola,boy,Ола
Reed,boy,Рид
Sampson,boy,Сэмпсон
Samual,boy,Самуэль
Thos,boy,Тос
Todd,boy,Тодд
Tommy,boy,Томми
Unknown,boy,Ункновн
Wirt,boy,Вирт
Woodie,boy,Вуди
Alice,boy,Алиса
Alvis,boy,Алвис
Ammon,boy,Аммон
Boss,boy,Босс
Cas,boy,Кас
Cass,boy,Касс
Chalmer,boy,Чалмер
Denton,boy,Дентон
Elsworth,boy,Элсворт
Erving,boy,Эрвинг
Fredric,boy,Фредрик
Furman,boy,Фурман
Helen,boy,Хелен
Pearlie,boy,Перли
Plummer,boy,Пламмер
Presley,boy,Пресли
Rollo,boy,Ролло
Roswell,boy,Розуэлл
Ruffus,boy,Руффус
Sheldon,boy,Шелдон
Tilman,boy,Тилман
York,boy,Йорк
Acie,boy,Эйси
Alfonso,boy,Альфонсо
Ashton,boy,Эштон
Burke,boy,Берк
Cap,boy,Кепка
Casimiro,boy,Казимиро
Collie,boy,Колли
Curley,boy,Керли
Dale,boy,Дол
Dixon,boy,Диксон
Dominick,boy,Доминик
Garret,boy,Гаррет
Gerrit,boy,Геррит
Griffin,boy,Грифон
Hall,boy,Зал
Heber,boy,Хибер
Hurley,boy,Херли
Isidore,boy,Исидор
Lorenza,boy,Лоренца
Marian,boy,Мариан
Maud,boy,Мод
Maude,boy,Мод
Murphy,boy,Мерфи
Obe,boy,Обе
Orla,boy,Орла
Orlo,boy,Орло
Orrie,boy,Орри
Sebastian,boy,Себастьян
Starling,boy,Старлинг
Tolbert,boy,Толберт
Whit,boy,Уит
Adrien,boy,Адриан
Alto,boy,Альт
Angelo,boy,Анджело
Antone,boy,Антоне
Arden,boy,Арден
Atticus,boy,Аттикус
Belton,boy,Белтон
